LineID,SLimit
1,	12.55590
2,	12.55590
3,	12.55590
4,	6.27795
5,	6.27795
6,	6.27795
7,	6.27795
8,	6.27795
9,	6.27795
10,	3.13898
11,	3.13898
12,	3.13898
13,	3.13898
14,	3.13898
15,	3.13898
16,	3.13898
17,	3.13898
18,	3.13898
19,	3.13898
20,	3.13898
21,	3.13898
22,	2.09265
23,	2.09265
24,	2.09265
25,	2.09265
26,	2.09265
27,	2.09265
28,	2.09265
29,	2.09265
30,	2.09265
31,	2.09265
32,	2.09265
33,	2.09265
34,	2.09265
35,	2.09265
36,	2.09265
37,	2.09265
38,	2.09265
39,	2.09265
40,	1.34528
41,	1.34528
42,	1.34528
43,	1.34528
44,	1.34528
45,	1.34528
46,	1.34528
47,	1.34528
48,	1.34528
49,	1.34528
50,	1.34528
51,	1.34528
52,	1.34528
53,	1.34528
54,	1.34528
55,	1.34528
56,	1.34528
57,	1.34528
58,	1.34528
59,	1.34528
60,	1.34528
61,	1.34528
62,	1.34528
63,	1.34528
64,	1.34528
65,	1.34528
66,	1.34528
67,	1.34528
68,	0.91872
69,	0.91872
70,	0.91872
71,	0.91872
72,	0.91872
73,	0.91872
74,	0.91872
75,	0.91872
76,	0.91872
77,	0.91872
78,	0.91872
79,	0.91872
80,	0.91872
81,	0.91872
82,	0.91872
83,	0.91872
84,	0.91872
85,	0.91872
86,	0.91872
87,	0.91872
88,	0.91872
89,	0.91872
90,	0.91872
91,	0.91872
92,	0.91872
93,	0.91872
94,	0.91872
95,	0.91872
96,	0.91872
97,	0.91872
98,	0.91872
99,	0.91872
100,	0.91872
101,	0.91872
102,	0.91872
103,	0.91872
104,	0.91872
105,	0.91872
106,	0.91872
107,	0.91872
108,	0.91872
109,	0.61750
110,	0.61750
111,	0.61750
112,	0.61750
113,	0.61750
114,	0.61750
115,	0.61750
116,	0.61750
117,	0.61750
118,	0.61750
119,	0.61750
120,	0.61750
121,	0.61750
122,	0.61750
123,	0.61750
124,	0.61750
125,	0.61750
126,	0.61750
127,	0.61750
128,	0.61750
129,	0.61750
130,	0.61750
131,	0.61750
132,	0.61750
133,	0.61750
134,	0.61750
135,	0.61750
136,	0.61750
137,	0.61750
138,	0.61750
139,	0.61750
140,	0.61750
141,	0.61750
142,	0.61750
143,	0.61750
144,	0.61750
145,	0.61750
146,	0.61750
147,	0.61750
148,	0.61750
149,	0.61750
150,	0.61750
151,	0.61750
152,	0.61750
153,	0.61750
154,	0.61750
155,	0.61750
156,	0.61750
157,	0.61750
158,	0.61750
159,	0.61750
160,	0.61750
161,	0.61750
162,	0.61750
163,	0.61750
164,	0.61750
165,	0.61750
166,	0.61750
167,	0.61750
168,	0.61750
169,	0.61750
170,	0.43296
171,	0.43296
172,	0.43296
173,	0.43296
174,	0.43296
175,	0.43296
176,	0.43296
177,	0.43296
178,	0.43296
179,	0.43296
180,	0.43296
181,	0.43296
182,	0.43296
183,	0.43296
184,	0.43296
185,	0.43296
186,	0.43296
187,	0.43296
188,	0.43296
189,	0.43296
190,	0.43296
191,	0.43296
192,	0.43296
193,	0.43296
194,	0.43296
195,	0.43296
196,	0.43296
197,	0.43296
198,	0.43296
199,	0.43296
200,	0.43296
201,	0.43296
202,	0.43296
203,	0.43296
204,	0.43296
205,	0.43296
206,	0.43296
207,	0.43296
208,	0.43296
209,	0.43296
210,	0.43296
211,	0.43296
212,	0.43296
213,	0.43296
214,	0.43296
215,	0.43296
216,	0.43296
217,	0.43296
218,	0.43296
219,	0.43296
220,	0.43296
221,	0.43296
222,	0.43296
223,	0.43296
224,	0.43296
225,	0.43296
226,	0.43296
227,	0.43296
228,	0.43296
229,	0.43296
230,	0.43296
231,	0.43296
232,	0.43296
233,	0.43296
234,	0.43296
235,	0.43296
236,	0.43296
237,	0.43296
238,	0.43296
239,	0.43296
