0.384485	
0.217811	0.289538	0.307072	0.470498	0.505702	
0.155624	0.245333	0.279501	0.453207	0.477285	
0.094616	0.198355	0.245187	0.444900	0.474017	
0.029657	0.142582	0.202494	0.431302	0.471941	
-0.050419	0.069938	0.153932	0.423081	0.460537	
-0.100591	-0.082056	0.036831	0.562927	0.645702	
-0.082391	-0.056750	0.036836	0.493662	0.558924	
-0.107612	-0.068196	0.024494	0.485433	0.527107	
-0.112661	-0.083899	0.015062	0.463777	0.498164	
-0.164488	-0.113648	-0.011122	0.451642	0.480088	
-0.161027	-0.118201	-0.013758	0.440526	0.514383	
-0.165403	-0.122618	-0.014661	0.442081	0.473583	
-0.156488	-0.116842	-0.007138	0.453418	0.487662	
-0.139317	-0.099493	0.003327	0.459345	0.520912	
-0.107506	-0.081114	0.021093	0.469163	0.498321	
-0.092480	-0.072972	0.022721	0.481367	0.525121	
-0.115906	-0.094617	0.017947	0.536251	0.602748	
-0.173935	0.167724	0.169508	0.374003	0.724854	
-0.224057	0.126884	0.148289	0.347824	0.745065	
-0.192659	0.145040	0.161673	0.348341	0.707707	
-0.206860	0.124399	0.122388	0.309289	0.647182	
-0.386798	-0.069280	-0.072392	0.101963	0.421969	
-0.386651	-0.126609	-0.147541	0.030609	0.364495	
