-0.384485	
-0.376334	-0.428714	-0.407910	-0.058169	0.211207	
-0.308885	-0.384478	-0.384469	0.008525	0.122860	
-0.264539	-0.344425	-0.360164	0.063588	0.138913	
-0.203877	-0.298753	-0.336626	0.124324	0.179809	
-0.137100	-0.243314	-0.298736	0.195040	0.258852	
-0.211934	-0.113521	-0.231643	0.237405	0.340532	
-0.234557	-0.132814	-0.257797	0.311587	0.633002	
-0.234444	-0.126227	-0.239644	0.326119	0.693993	
-0.200617	-0.113462	-0.231926	0.330996	0.707237	
-0.156478	-0.081486	-0.195280	0.338934	0.720918	
-0.162649	-0.071544	-0.198134	0.341775	0.716948	
-0.154874	-0.070669	-0.193078	0.340795	0.717072	
-0.164627	-0.081609	-0.202284	0.342447	0.714645	
-0.188787	-0.096999	-0.218785	0.335662	0.708759	
-0.219652	-0.114242	-0.232220	0.328681	0.701115	
-0.239651	-0.119516	-0.237093	0.318006	0.649725	
-0.211446	-0.082982	-0.209020	0.249646	0.356711	
-0.083295	-0.194903	-0.252703	-0.121150	0.127373	
-0.038541	-0.153579	-0.223196	-0.106616	0.068270	
-0.071710	-0.171248	-0.233324	-0.114020	0.115666	
-0.054594	-0.146103	-0.208694	-0.057967	0.180848	
0.100809	0.042527	-0.000831	0.157107	0.392517	
0.112574	0.097368	0.059464	0.248686	0.464220	
